Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AZN.L,AZN.L,AZN.L,AZN.L,AZN.L,AZN.L
Date,,,,,,
2014-01-02,3544.216796875,3558.0,3592.5,3545.5,3566.0,1966575
2014-01-03,3571.610107421875,3585.5,3604.0,3554.0,3561.5,3886099
2014-01-06,3584.559326171875,3598.5,3607.85009765625,3579.0,3579.0,2272678
2014-01-07,3548.69970703125,3562.5,3591.0,3557.0,3584.0,2948814
2014-01-08,3535.74951171875,3549.5,3571.5,3539.5,3558.0,2071328
2014-01-09,3558.660400390625,3572.5,3613.75,3564.0,3575.0,2301887
2014-01-10,3637.85205078125,3652.0,3676.0,3580.5,3598.5,2673243
2014-01-13,3649.3076171875,3663.5,3675.5,3367.070068359375,3671.0,1970673
2014-01-14,3740.951171875,3755.5,3779.5,3696.0,3714.0,4593162
2014-01-15,3830.1044921875,3845.0,3845.0,3746.639892578125,3764.5,3952770
2014-01-16,3858.992919921875,3874.0,3886.5,3828.0,3851.0,2673391
2014-01-17,3859.988525390625,3875.0,3912.0,3854.0,3895.5,4218589
2014-01-20,3904.814453125,3920.0,3939.5,3872.5,3886.5,2198152
2014-01-21,3931.7099609375,3947.0,3980.97998046875,3924.5,3931.0,2875919
2014-01-22,3918.759765625,3934.0,3963.5,3911.0,3947.0,2921981
2014-01-23,3944.6591796875,3960.0,3964.5,3930.0,3931.0,2602646
2014-01-24,3875.92626953125,3891.0,3976.48388671875,3874.5,3953.0,3344786
2014-01-27,3840.564453125,3855.5,3917.5,3846.5,3890.5,3261022
2014-01-28,3850.02734375,3865.0,3876.904052734375,3823.0,3844.0,3014463
2014-01-29,3831.5986328125,3846.5,3897.0,3821.5,3888.5,2548557
2014-01-30,3857.99609375,3873.0,3878.346923828125,3833.0,3855.0,2660157
2014-01-31,3843.552490234375,3858.5,3875.5,3815.0,3869.5,2037593
2014-02-03,3856.99951171875,3872.0,3904.5,3858.5,3870.5,1996995
2014-02-04,3836.080810546875,3851.0,3875.0,3832.5,3865.5,2524868
2014-02-05,3861.98095703125,3877.0,3898.5,3832.0,3861.0,2883279
2014-02-06,3800.718994140625,3815.5,3865.5,3663.7041015625,3850.5,5586882
2014-02-07,3845.04638671875,3860.0,3865.0,3824.5,3845.0,2882044
2014-02-10,3899.833251953125,3915.0,3915.0,3873.5,3882.5,2197834
2014-02-11,3959.10302734375,3974.5,3975.0,3920.39990234375,3940.0,2963174
2014-02-12,3986.9951171875,4002.5,4008.5,3956.5,3989.5,2830986
2014-02-13,4039.7890625,4055.5,4060.027099609375,3990.0,3997.5,2760958
2014-02-14,4039.291259765625,4055.0,4076.0,4038.0,4055.0,2565351
2014-02-17,4057.2216796875,4073.0,4090.0,3955.821044921875,4046.0,1660250
2014-02-18,4076.646240234375,4092.5,4095.0,3954.10009765625,4077.5,2717317
2014-02-19,3972.68798828125,3987.0,4098.89990234375,3946.5,4000.0,2955021
2014-02-20,3981.656494140625,3996.0,4088.0,3939.5,3952.5,2897317
2014-02-21,4013.04248046875,4027.5,4138.330078125,4002.0,4010.0,2414674
2014-02-24,4085.28271484375,4100.0,4100.41015625,4000.5,4016.0,3011298
2014-02-25,4080.300537109375,4095.0,4111.5,4060.0,4093.0,3696229
2014-02-26,4060.37255859375,4075.0,4107.0,4065.0,4083.5,1578851
2014-02-27,4088.27197265625,4103.0,4113.4501953125,4057.0,4082.0,1594371
2014-02-28,4069.34033203125,4084.0,4115.02490234375,4046.14990234375,4094.0,2367823
2014-03-03,3979.663330078125,3994.0,4005.0,3959.0,3973.5,2941737
2014-03-04,4065.85302734375,4080.5,4081.0,4020.5,4029.5,1789849
2014-03-05,4025.0,4039.5,4087.0,4038.0,4073.0,2184607
2014-03-06,3996.60205078125,4011.0,4068.0,4011.0,4059.5,2023222
2014-03-07,3970.6953125,3985.0,4025.0,3972.5,4013.0,1735373
2014-03-10,3975.17919921875,3989.5,4015.0,3977.5,3979.5,1892107
2014-03-11,4001.583984375,4016.0,4023.5,3979.5,4007.5,3425828
2014-03-12,3987.634765625,4002.0,4021.0,3967.5,4021.0,2621783
2014-03-13,3964.717041015625,3979.0,4012.0,3969.5,4002.5,2396383
2014-03-14,3898.9541015625,3913.0,4033.35009765625,3877.073974609375,3913.5,3015624
2014-03-17,3956.247314453125,3970.5,4066.02001953125,3920.0,3924.0,1874995
2014-03-18,3964.219482421875,3978.5,4078.699951171875,3945.5,3964.5,2176615
2014-03-19,3963.22265625,3977.5,4005.5,3975.0,3989.5,1423825
2014-03-20,3927.850830078125,3942.0,3972.449951171875,3916.0,3966.5,2400815
2014-03-21,3914.896728515625,3929.0,3957.5,3915.5,3940.5,4316188
2014-03-24,3852.12255859375,3866.0,3922.5,3858.5,3921.0,2331265
2014-03-25,3878.029541015625,3892.0,3920.0,3854.5,3855.0,1749890
2014-03-26,3895.965087890625,3910.0,3944.5,3893.0,3896.5,2262469
2014-03-27,3895.965087890625,3910.0,3928.782958984375,3884.5,3898.0,2103618
2014-03-28,3923.3662109375,3937.5,3959.0,3918.89892578125,3921.0,1935935
2014-03-31,3862.585693359375,3876.5,3973.5,3873.0,3939.0,2797736
2014-04-01,3910.412841796875,3924.5,3939.0,3884.5,3905.5,1545780
2014-04-02,3935.821533203125,3950.0,3973.0,3919.5,3919.5,1911849
2014-04-03,3903.43798828125,3917.5,3955.5,3909.0,3950.0,1443612
2014-04-04,3908.918701171875,3923.0,3937.5,3893.0,3929.0,1886822
2014-04-07,3853.6181640625,3867.5,3906.0,3850.0,3902.0,1959572
2014-04-08,3796.82177734375,3810.5,3868.0,3798.0,3863.0,2929995
2014-04-09,3797.818359375,3811.5,3825.5,3794.0,3817.0,1900036
2014-04-10,3823.227294921875,3837.0,3874.095947265625,3815.0,3832.5,2241589
2014-04-11,3766.92919921875,3780.5,3803.0,3740.0,3803.0,2144207
2014-04-14,3722.589599609375,3736.0,3766.0,3723.64990234375,3752.0,2436271
2014-04-15,3709.635498046875,3723.0,3755.60791015625,3718.5,3735.0,3766990
2014-04-16,3745.00927734375,3758.5,3834.73193359375,3735.0,3738.5,1449502
2014-04-17,3767.92626953125,3781.5,3795.0,3757.0,3775.0,1802612
2014-04-22,3945.78515625,3960.0,4147.0732421875,3957.0,4095.0,9330279
2014-04-23,4027.98974609375,4042.5,4060.0,3972.10888671875,4000.0,5446697
2014-04-24,4160.0146484375,4175.0,4296.5,4008.5,4010.0,5219049
2014-04-25,4065.354248046875,4080.0,4141.6748046875,4041.0,4110.5,3697668
2014-04-28,4649.74951171875,4666.5,4796.5,4560.0,4701.0,15617707
2014-04-29,4615.8720703125,4632.5,4682.5,4563.0400390625,4620.0,7411943
2014-04-30,4647.259765625,4664.0,4700.0,4602.57080078125,4612.0,5097321
2014-05-01,4797.71630859375,4815.0,5750.0,4666.0,4675.0,4595096
2014-05-02,4790.74267578125,4808.0,4946.4130859375,4716.5,4825.0,8406892
2014-05-06,4660.70947265625,4677.5,4762.5,4657.5,4735.0,3705878
2014-05-07,4614.376953125,4631.0,4664.0,4608.52783203125,4622.0,3988894
2014-05-08,4696.08251953125,4713.0,4735.0,4630.0,4630.0,3380811
2014-05-09,4583.98681640625,4600.5,4678.0,4598.5,4665.0,4069204
2014-05-12,4593.453125,4610.0,4648.5,4576.423828125,4628.0,2197462
2014-05-13,4625.3369140625,4642.0,4733.5,4615.0,4635.0,4826789
2014-05-14,4637.29541015625,4654.0,4698.25,4468.5,4642.5,3051528
2014-05-15,4709.53369140625,4726.5,4726.5,4634.5,4649.0,3865768
2014-05-16,4806.18603515625,4823.5,4827.0,4662.673828125,4741.0,6188799
2014-05-19,4272.10888671875,4287.5,4823.02001953125,4098.0,4200.0,26880809
2014-05-20,4293.0341796875,4308.5,4308.72021484375,4185.7158203125,4215.0,13995314
2014-05-21,4404.1337890625,4420.0,4459.0,4264.0,4313.5,7799807
2014-05-22,4259.65625,4275.0,4409.0,4228.5,4402.0,9909342
2014-05-23,4312.46435546875,4328.0,4328.22021484375,4216.0,4236.5,5182673
2014-05-27,4236.73779296875,4252.0,4282.0,4207.5,4225.0,6094063
2014-05-28,4239.72607421875,4255.0,4295.0,4248.5,4277.0,4560732
2014-05-29,4272.6083984375,4288.0,4321.0,4255.0,4255.0,1830692
2014-05-30,4268.1240234375,4283.5,4326.2470703125,4260.5,4274.5,3824559
2014-06-02,4354.81201171875,4370.5,4394.5,4297.125,4315.5,2138630
2014-06-03,4333.38818359375,4349.0,4389.2001953125,4330.0,4372.5,2504194
2014-06-04,4332.89013671875,4348.5,4383.0,4324.5,4359.5,1662966
2014-06-05,4280.580078125,4296.0,4365.5,4293.0,4359.5,2392817
2014-06-06,4312.46435546875,4328.0,4339.60693359375,4287.0,4315.5,1638436
2014-06-09,4311.46728515625,4327.0,4340.0,4302.5,4329.0,910414
2014-06-10,4332.392578125,4348.0,4351.0,4304.10009765625,4346.5,1662181
2014-06-11,4384.20703125,4400.0,4450.0,4337.0,4340.0,2397968
2014-06-12,4406.62451171875,4422.5,4456.5,4363.60009765625,4400.0,2463342
2014-06-13,4369.259765625,4385.0,4409.0,4361.5,4390.0,3905396
2014-06-16,4342.357421875,4358.0,4386.5,4348.5,4364.5,2609401
2014-06-17,4350.32763671875,4366.0,4370.5,4323.0,4340.0,1999704
2014-06-18,4379.72216796875,4395.5,4421.5,4358.2880859375,4370.0,1504859
2014-06-19,4428.048828125,4444.0,4448.5,4400.5,4408.0,3098868
2014-06-20,4453.955078125,4470.0,4486.19384765625,4430.22509765625,4444.5,4340777
2014-06-23,4357.80029296875,4373.5,4453.0,4370.5,4444.0,2814167
2014-06-24,4337.37451171875,4353.0,4450.18994140625,4302.0,4380.0,3010111
2014-06-25,4346.341796875,4362.0,4376.5,4322.0,4346.5,2168056
2014-06-26,4329.90185546875,4345.5,4387.5,4326.5,4370.0,1729324
2014-06-27,4354.31298828125,4370.0,4414.56982421875,4326.0,4331.0,1110276
2014-06-30,4324.91943359375,4340.5,4392.0,4316.0,4365.0,1816980
2014-07-01,4353.8154296875,4369.5,4397.0,4326.5,4341.5,1372644
2014-07-02,4402.64013671875,4418.5,4437.0,4354.5,4370.0,1654257
2014-07-03,4407.123046875,4423.0,4448.0,4371.5,4419.0,1768675
2014-07-04,4401.64306640625,4417.5,4436.0,4401.0,4414.0,716667
2014-07-07,4435.02392578125,4451.0,4474.5,4397.5,4412.5,1356908
2014-07-08,4346.341796875,4362.0,4451.0,4356.5,4449.0,1438916
2014-07-09,4345.8447265625,4361.5,4375.5,4344.5,4360.5,1095976
2014-07-10,4329.404296875,4345.0,4371.0,4326.5,4358.5,1692025
2014-07-11,4337.873046875,4353.5,4375.08203125,4330.0,4346.0,965145
2014-07-14,4353.8154296875,4369.5,4393.5,4358.0,4375.0,1492796
2014-07-15,4368.76123046875,4384.5,4423.0,4375.0,4378.0,1458661
2014-07-16,4355.3115234375,4371.0,4389.75,4335.5,4380.0,2673194
2014-07-17,4299.01318359375,4314.5,4358.5,4302.0,4338.0,1733397
2014-07-18,4324.42041015625,4340.0,4351.5,4280.0,4288.0,3466793
2014-07-21,4374.24169921875,4390.0,4393.5,4342.0,4348.5,1442321
2014-07-22,4410.1123046875,4426.0,4436.0,4396.0,4401.5,1471564
2014-07-23,4405.13037109375,4421.0,4427.5,4405.5,4425.5,1611961
2014-07-24,4408.6171875,4424.5,4432.0,4370.0,4404.0,1443390
2014-07-25,4376.2353515625,4392.0,4414.5,4378.5,4399.0,1640515
2014-07-28,4345.345703125,4361.0,4404.54296875,4358.0,4400.0,1735987
2014-07-29,4306.984375,4322.5,4390.0,4319.5,4379.0,1869453
2014-07-30,4341.85986328125,4357.5,4373.5,4326.47509765625,4334.0,3163795
2014-07-31,4328.90576171875,4344.5,4395.5,4311.0,4366.0,4937363
2014-08-01,4322.92724609375,4338.5,4349.97509765625,4269.5,4312.0,2261840
2014-08-04,4346.8408203125,4362.5,4392.0,4323.5,4340.0,2198614
2014-08-05,4329.90185546875,4345.5,4407.0,4330.5,4380.5,1702656
2014-08-06,4174.96044921875,4190.0,4303.5,4082.0,4295.0,5926840
2014-08-07,4173.9638671875,4189.0,4222.0,4179.0,4195.0,2636185
2014-08-08,4094.747802734375,4109.5,4166.0,4098.0,4159.0,2303336
2014-08-11,4125.6376953125,4140.5,4185.0,4119.5,4144.0,2066922
2014-08-12,4114.1787109375,4129.0,4152.5,4091.0,4145.5,1647230
2014-08-13,4087.302734375,4101.5,4146.10009765625,4078.5,4100.0,2395706
2014-08-14,4081.822509765625,4096.0,4115.0,4075.0,4101.5,1972768
2014-08-15,4078.33447265625,4092.5,4148.10009765625,4075.5,4107.0,2911971
2014-08-18,4186.95703125,4201.5,4207.0,4105.0,4110.0,2830079
2014-08-19,4223.82958984375,4238.5,4255.0,4212.5,4225.5,1613336
2014-08-20,4270.16748046875,4285.0,4293.25,4225.5,4228.5,1577509
2014-08-21,4396.23046875,4411.5,4433.0,4293.5,4304.0,2945688
2014-08-22,4402.7080078125,4418.0,4450.0,4398.0,4423.5,1779670
2014-08-26,4452.03466796875,4467.5,4472.5,4432.5,4439.0,1751757
2014-08-27,4433.60009765625,4449.0,4493.5419921875,4422.5,4455.5,3008077
2014-08-28,4463.9951171875,4479.5,4483.0,4428.5,4449.5,2020320
2014-08-29,4551.19189453125,4567.0,4667.5,4480.8388671875,4530.0,3698557
2014-09-01,4561.6552734375,4577.5,4609.0,4517.0,4573.0,1490477
2014-09-02,4525.2822265625,4541.0,4600.0,4444.0,4596.5,4576242
2014-09-03,4561.15625,4577.0,4587.5,4514.5,4535.5,3079110
2014-09-04,4540.72802734375,4556.5,4598.5,4509.5,4550.0,2508078
2014-09-05,4537.240234375,4553.0,4568.6279296875,4534.0791015625,4550.0,3793497
2014-09-08,4556.17529296875,4572.0,4577.5,4517.0,4540.0,1693244
2014-09-09,4561.6552734375,4577.5,4589.0,4536.0,4556.5,1230909
2014-09-10,4581.087890625,4597.0,4608.80419921875,4556.0,4575.0,1625140
2014-09-11,4523.2880859375,4539.0,4622.5,4509.0,4606.0,1728221
2014-09-12,4506.34716796875,4522.0,4585.5,4472.5,4556.0,1966283
2014-09-15,4529.26806640625,4545.0,4549.0,4496.75,4515.5,1325270
2014-09-16,4495.884765625,4511.5,4550.0,4460.5,4537.0,1912115
2014-09-17,4477.4482421875,4493.0,4533.5,4484.0,4518.5,1715397
2014-09-18,4520.796875,4536.5,4555.5,4488.0,4493.0,1702066
2014-09-19,4562.65234375,4578.5,4599.5,4532.5,4562.0,3877051
