Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BHP.L,BHP.L,BHP.L,BHP.L,BHP.L,BHP.L
Date,,,,,,
2014-01-02,1839.7088623046875,1852.0,1877.0,1835.0,1877.0,5062171
2014-01-03,1845.1719970703125,1857.5,1862.3759765625,1831.8189697265625,1853.0,3239823
2014-01-06,1816.3643798828125,1828.5,1862.0,1824.5,1850.0,4928338
2014-01-07,1816.3643798828125,1828.5,1848.0,1814.5,1828.5,4353601
2014-01-08,1798.980712890625,1811.0,1836.0,1806.5,1822.0,5760266
2014-01-09,1760.2393798828125,1772.0,1816.18798828125,1768.0,1810.0,6869073
2014-01-10,1768.68310546875,1780.5,1806.5,1766.5,1783.0,7337641
2014-01-13,1785.0736083984375,1797.0,1801.5,1776.5,1792.5,6422914
2014-01-14,1769.676513671875,1781.5,1790.0,1764.6219482421875,1781.5,4461981
2014-01-15,1779.6102294921875,1791.5,1794.0,1765.06201171875,1775.0,6295802
2014-01-16,1847.655517578125,1860.0,1866.0,1810.4859619140625,1830.0,15583563
2014-01-17,1877.4561767578125,1890.0,1890.0,1869.0,1869.0,13151379
2014-01-20,1873.9796142578125,1886.5,1899.5,1868.238037109375,1875.0,4806400
2014-01-21,1842.1917724609375,1854.5,1886.5,1845.5,1881.5,7758151
2014-01-22,1821.827880859375,1834.0,1874.0,1824.5,1860.0,7321675
2014-01-23,1812.3909912109375,1824.5,1848.0,1806.4930419921875,1814.0,6984899
2014-01-24,1779.6102294921875,1791.5,1822.3499755859375,1783.5,1822.0,8424670
2014-01-27,1768.1864013671875,1780.0,1815.0,1771.5,1786.0,8690630
2014-01-28,1790.040283203125,1802.0,1830.0,1771.8590087890625,1798.0,8444707
2014-01-29,1791.530517578125,1803.5,1841.0,1765.0,1823.5,10013542
2014-01-30,1798.980712890625,1811.0,1814.0,1779.7850341796875,1795.5,7399039
2014-01-31,1783.5836181640625,1795.5,1810.5,1770.5,1803.0,9407447
2014-02-03,1762.722900390625,1774.5,1815.0,1767.5,1794.0,5895120
2014-02-04,1754.2794189453125,1766.0,1843.0579833984375,1742.5,1762.0,8267143
2014-02-05,1747.325927734375,1759.0,1767.0,1737.3780517578125,1758.0,8175467
2014-02-06,1770.669677734375,1782.5,1789.5,1748.5,1767.0,8599838
2014-02-07,1793.0206298828125,1805.0,1809.0,1775.5,1793.5,8026456
2014-02-10,1802.9542236328125,1815.0,1828.0,1801.3089599609375,1814.0,6397503
2014-02-11,1836.728271484375,1849.0,1852.5,1817.699951171875,1828.0,10123685
2014-02-12,1850.13916015625,1862.5,1881.0,1852.0350341796875,1864.0,7398187
2014-02-13,1858.58251953125,1871.0,1880.0,1826.0,1866.5,11738307
2014-02-14,1875.96630859375,1888.5,1906.5,1839.9200439453125,1874.0,9906073
2014-02-17,1899.3104248046875,1912.0,1917.0,1890.5,1899.0,6314911
2014-02-18,1936.0648193359375,1949.0,1955.5,1912.5,1948.0,10007594
2014-02-19,1951.958740234375,1965.0,1972.0,1932.6400146484375,1944.5,9562949
2014-02-20,1965.86572265625,1979.0,1979.0,1925.0,1925.0,12226643
2014-02-21,1956.9259033203125,1970.0,1989.0,1956.0,1985.0,10648661
2014-02-24,1946.9920654296875,1960.0,1970.0,1942.5,1958.0,8536826
2014-02-25,1915.700927734375,1928.5,1960.0,1912.5,1946.0,12144364
2014-02-26,1904.2769775390625,1917.0,1939.5,1909.5,1923.5,5716358
2014-02-27,1913.217529296875,1926.0,1942.5009765625,1897.0,1909.5,7095398
2014-02-28,1915.700927734375,1928.5,1928.5,1907.738037109375,1921.5,7377434
2014-03-03,1892.35693359375,1905.0,1908.0,1843.3609619140625,1892.0,6625049
2014-03-04,1914.210693359375,1927.0,1935.0,1870.2769775390625,1917.5,8185506
2014-03-05,1870.8447265625,1883.0,1904.0,1874.0,1892.5,6147539
2014-03-06,1875.812744140625,1888.0,1904.5,1875.5,1887.5,5874541
2014-03-07,1836.56787109375,1848.5,1922.72900390625,1838.0,1881.0,15208945
2014-03-10,1810.238525390625,1822.0,1833.0,1785.489990234375,1815.0,10268384
2014-03-11,1800.3031005859375,1812.0,1839.0,1806.0,1830.0,7772972
2014-03-12,1781.4261474609375,1793.0,1919.0899658203125,1777.0,1800.0,9937213
2014-03-13,1778.4451904296875,1790.0,1822.0,1788.0,1817.5,7930013
2014-03-14,1774.9677734375,1786.5,1797.0,1770.0,1776.0,8442521
2014-03-17,1796.825439453125,1808.5,1825.998046875,1788.699951171875,1790.5,8432964
2014-03-18,1804.2774658203125,1816.0,1832.0,1793.0,1813.0,5416609
2014-03-19,1767.0194091796875,1778.5,1827.5,1777.0,1819.0,6735477
2014-03-20,1781.4261474609375,1793.0,1797.5,1764.0,1774.0,8655505
2014-03-21,1797.819091796875,1809.5,1823.0,1799.0,1799.0,9685292
2014-03-24,1790.36767578125,1802.0,1821.5,1787.592041015625,1818.0,5183267
2014-03-25,1831.599853515625,1843.5,1845.5,1815.0,1815.0,7194984
2014-03-26,1819.1802978515625,1831.0,1863.0,1826.0,1850.5,6679888
2014-03-27,1820.671142578125,1832.5,1835.5,1813.625,1823.0,5148242
2014-03-28,1840.0447998046875,1852.0,1870.3800048828125,1832.571044921875,1845.5,5726754
2014-03-31,1832.0965576171875,1844.0,1875.425048828125,1837.0,1865.0,7346861
2014-04-01,1869.851318359375,1882.0,1896.5,1867.9599609375,1876.0,9139428
2014-04-02,1904.62548828125,1917.0,1926.0,1885.2540283203125,1888.5,6949776
2014-04-03,1913.5673828125,1926.0,1932.5,1899.0,1900.0,7295167
2014-04-04,1948.34130859375,1961.0,1966.0,1914.886962890625,1925.5,6848146
2014-04-07,1915.5543212890625,1928.0,1952.385009765625,1915.154052734375,1943.0,5096622
