Price,Adj Close,Close,High,Low,Open,Volume
Ticker,REL.L,REL.L,REL.L,REL.L,REL.L,REL.L
Date,,,,,,
2014-01-02,899.5167846679688,902.0,903.0,892.5,896.5,2172875
2014-01-03,897.0236206054688,899.5,906.5830078125,892.5,900.0,1556989
2014-01-06,901.0125732421875,903.5,907.0,896.0,897.5,1606872
2014-01-07,898.5194091796875,901.0,906.5,899.1599731445312,900.5,2004481
2014-01-08,900.5139770507812,903.0,906.8400268554688,893.5,897.5,2269683
2014-01-09,901.0125732421875,903.5,912.5,899.0,901.0,2823853
2014-01-10,905.0014038085938,907.5,914.0830078125,903.5,904.5,1755354
2014-01-13,904.5028686523438,907.0,910.5,901.6079711914062,907.0,2065330
2014-01-14,915.9712524414062,918.5,920.5,904.3499755859375,906.0,2731591
2014-01-15,924.946533203125,927.5,929.0,921.5,922.0,2945892
2014-01-16,923.9492797851562,926.5,931.4000244140625,925.0,927.0,2254929
2014-01-17,922.9521484375,925.5,932.0,920.5,927.0,6350790
2014-01-20,921.9547729492188,924.5,929.5,919.5,925.0,1602513
2014-01-21,928.4369506835938,931.0,934.0,921.5,924.0,2084692
2014-01-22,923.9492797851562,926.5,938.0,925.0,933.0,2036616
2014-01-23,913.4782104492188,916.0,930.5,912.5,925.0,2371250
2014-01-24,901.5111694335938,904.0,923.5,900.5,917.0,3008658
2014-01-27,891.0401000976562,893.5,903.5,889.0,898.5,2805434
2014-01-28,890.0429077148438,892.5,895.35400390625,889.5,891.5,3623559
2014-01-29,893.533203125,896.0,902.5,885.5,896.5,3151741
2014-01-30,887.5497436523438,890.0,897.7919921875,888.0,894.5,2837131
2014-01-31,884.5579833984375,887.0,894.0,875.0,889.5,2536445
2014-02-03,886.552490234375,889.0,896.5,882.5,882.5,2056221
2014-02-04,881.067626953125,883.5,892.0,878.0,889.0,2103322
2014-02-05,875.5827026367188,878.0,890.5,876.0,883.5,2768065
2014-02-06,884.0592041015625,886.5,887.0,877.5,884.5,3248338
2014-02-07,884.5579833984375,887.0,895.1400146484375,883.5,888.0,3031095
2014-02-10,883.5607299804688,886.0,890.5,883.9420166015625,889.0,1747933
2014-02-11,904.0042724609375,906.5,906.5,889.5,889.5,3400997
2014-02-12,905.500244140625,908.0,909.5,904.5,906.0,2252517
2014-02-13,913.4782104492188,916.0,917.0,907.5,907.5,2918481
2014-02-14,906.497314453125,909.0,918.5,907.5,915.0,2445960
2014-02-17,912.9794311523438,915.5,916.0,908.0,908.0,2514174
2014-02-18,921.4563598632812,924.0,924.5,916.5,918.5,2257704
