Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ULVR.L,ULVR.L,ULVR.L,ULVR.L,ULVR.L,ULVR.L
Date,,,,,,
2014-01-02,2426.648681640625,2436.0,2486.0,2432.0,2479.0,1852349
2014-01-03,2435.614013671875,2445.0,2453.52001953125,2434.824951171875,2449.0,1398177
2014-01-06,2431.630126953125,2441.0,2451.0,2429.0,2441.0,1432621
2014-01-07,2433.621826171875,2443.0,2458.22509765625,2438.719970703125,2448.0,1399261
2014-01-08,2399.752197265625,2409.0,2450.0,2402.0,2449.0,1863248
2014-01-09,2360.90185546875,2370.0,2402.89990234375,2362.0,2400.0,2966235
2014-01-10,2378.83349609375,2388.0,2397.593017578125,2374.0400390625,2389.0,4714168
2014-01-13,2392.779541015625,2402.0,2408.199951171875,2372.22509765625,2400.0,2548625
2014-01-14,2403.73681640625,2413.0,2426.0,2381.0,2387.0,1717866
2014-01-15,2396.763427734375,2406.0,2406.0,2377.3359375,2400.0,2733235
2014-01-16,2422.6640625,2432.0,2434.0,2401.89990234375,2404.0,3007436
2014-01-17,2414.694580078125,2424.0,2454.0,2408.0,2439.0,4109251
2014-01-20,2427.64501953125,2437.0,2437.0,2413.0,2418.0,1810605
2014-01-21,2470.4794921875,2480.0,2558.0,2474.0,2520.0,5574582
2014-01-22,2495.383056640625,2505.0,2520.0,2494.0,2500.0,2678954
2014-01-23,2482.432373046875,2492.0,2516.0,2485.0,2507.0,2452433
2014-01-24,2455.53759765625,2465.0,2508.0,2461.0,2499.0,2975156
2014-01-27,2424.656005859375,2434.0,2490.0,2428.0,2469.0,3295533
2014-01-28,2402.740966796875,2412.0,2444.0,2405.0,2437.0,2380359
2014-01-29,2381.82177734375,2391.0,2443.0,2373.0,2435.0,2690215
2014-01-30,2348.9482421875,2358.0,2381.75,2332.0,2380.0,3586826
2014-01-31,2330.020751953125,2339.0,2375.0,2299.0,2355.0,4310183
2014-02-03,2330.020751953125,2339.0,2360.0,2330.0,2342.0,3997047
2014-02-04,2319.063232421875,2328.0,2345.0,2314.0,2337.0,2786390
2014-02-05,2297.36669921875,2306.0,2333.60009765625,2291.64990234375,2310.0,2395616
2014-02-06,2340.2060546875,2349.0,2354.0,2307.300048828125,2317.0,2506510
2014-02-07,2354.1533203125,2363.0,2367.0,2328.0,2360.0,1901011
2014-02-10,2366.10888671875,2375.0,2383.0,2366.0,2375.0,1641702
2014-02-11,2387.030517578125,2396.0,2396.0,2372.0,2380.0,2507822
2014-02-12,2354.1533203125,2363.0,2403.0,2360.0,2398.0,2867857
2014-02-13,2351.164306640625,2360.0,2384.34912109375,2343.0,2353.0,2163115
2014-02-14,2340.2060546875,2349.0,2366.0,2341.0,2363.0,2164525
2014-02-17,2378.0634765625,2387.0,2391.0,2337.0,2353.0,1312933
2014-02-18,2405.958740234375,2415.0,2419.0,2379.0,2394.0,2492353
2014-02-19,2413.9287109375,2423.0,2435.0,2346.76708984375,2413.0,2123442
2014-02-20,2428.87353515625,2438.0,2438.0,2398.0,2406.0,2682654
2014-02-21,2429.868408203125,2439.0,2452.0,2426.699951171875,2448.0,2679187
2014-02-24,2464.737548828125,2474.0,2481.219970703125,2436.0,2439.0,2941995
2014-02-25,2461.74951171875,2471.0,2474.0,2441.0,2463.0,4820016
2014-02-26,2437.838623046875,2447.0,2476.0,2446.0,2473.0,4482585
2014-02-27,2433.853759765625,2443.0,2455.0,2414.0,2447.0,2550750
2014-02-28,2431.862548828125,2441.0,2468.570068359375,2433.0,2445.0,3860895
2014-03-03,2386.032958984375,2395.0,2424.0,2388.450927734375,2415.0,2436592
2014-03-04,2453.779052734375,2463.0,2464.0,2419.262939453125,2420.0,2023678
2014-03-05,2435.84716796875,2445.0,2459.25,2433.0,2457.0,3549841
2014-03-06,2422.89501953125,2432.0,2454.0,2428.0,2450.0,3928191
2014-03-07,2411.9365234375,2421.0,2450.0,2421.0,2434.0,2858741
2014-03-10,2404.96240234375,2414.0,2443.0,2408.0,2423.0,2778487
2014-03-11,2376.07080078125,2385.0,2412.89990234375,2379.0,2407.0,4446440
2014-03-12,2365.112060546875,2374.0,2384.0,2357.0,2383.0,4401312
2014-03-13,2346.184326171875,2355.0,2388.0,2355.0,2381.0,2386854
2014-03-14,2362.123291015625,2371.0,2379.0,2352.0,2352.0,3877567
2014-03-17,2361.127685546875,2370.0,2376.0,2351.0,2363.0,3269984
2014-03-18,2381.052490234375,2390.0,2396.0,2348.699951171875,2363.0,3032295
2014-03-19,2380.05615234375,2389.0,2395.300048828125,2376.0,2385.0,2009725
2014-03-20,2368.101318359375,2377.0,2382.0,2353.0,2372.0,2055551
2014-03-21,2410.93994140625,2420.0,2420.0,2379.0,2379.0,4593077
2014-03-24,2416.917236328125,2426.0,2428.0,2374.510009765625,2414.0,2691739
2014-03-25,2459.75634765625,2469.0,2469.0,2428.0,2435.0,3056384
2014-03-26,2472.707763671875,2482.0,2500.0,2471.0,2475.0,2513446
2014-03-27,2495.62060546875,2505.0,2506.0,2457.0,2470.0,2414825
2014-03-28,2547.426513671875,2557.0,2559.0,2478.29296875,2509.0,4727701
