Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BWY.L,BWY.L,BWY.L,BWY.L,BWY.L,BWY.L
Date,,,,,,
2014-01-02,1598.919189453125,1606.0,1606.0,1555.0,1569.0,408739
2014-01-03,1602.90185546875,1610.0,1624.0,1583.5400390625,1607.0,362595
2014-01-06,1624.8046875,1632.0,1635.6400146484375,1610.0,1610.0,478566
2014-01-07,1604.8929443359375,1612.0,1640.0,1606.0,1640.0,536379
2014-01-08,1583.9854736328125,1591.0,1625.0,1585.0,1603.0,281173
2014-01-09,1575.02490234375,1582.0,1599.0,1572.553955078125,1599.0,236007
2014-01-10,1639.7386474609375,1647.0,1649.6400146484375,1587.0,1587.0,463068
2014-01-13,1635.75634765625,1643.0,1659.0,1621.0,1659.0,191817
2014-01-14,1642.72509765625,1650.0,1650.0,1608.0,1630.0,242473
2014-01-15,1633.765380859375,1641.0,1650.0,1628.0,1649.0,266500
2014-01-16,1614.8486328125,1622.0,1645.0,1599.5400390625,1638.0,233725
2014-01-17,1633.765380859375,1641.0,1650.0,1619.0,1633.0,278358
2014-01-20,1633.765380859375,1641.0,1650.0,1623.0,1629.0,214455
2014-01-21,1626.7957763671875,1634.0,1651.4599609375,1624.0,1643.0,240209
2014-01-22,1587.967529296875,1595.0,1642.0,1594.0,1642.0,274158
2014-01-23,1568.056396484375,1575.0,1589.0,1561.0,1586.0,333432
2014-01-24,1511.3072509765625,1518.0,1587.0,1511.0,1582.0,403320
2014-01-27,1488.4088134765625,1495.0,1524.0,1467.0,1524.0,560431
2014-01-28,1525.24560546875,1532.0,1542.800048828125,1495.0,1510.0,222788
2014-01-29,1522.2586669921875,1529.0,1558.0,1512.0,1556.0,376973
2014-01-30,1541.1751708984375,1548.0,1548.0,1526.0,1534.0,146688
2014-01-31,1547.148681640625,1554.0,1605.0,1532.0,1557.0,273048
2014-02-03,1524.2501220703125,1531.0,1568.0,1526.0,1557.0,202579
2014-02-04,1511.3072509765625,1518.0,1547.0,1511.0799560546875,1518.0,294344
2014-02-05,1519.272216796875,1526.0,1555.0,1508.0,1513.0,391092
2014-02-06,1584.9813232421875,1592.0,1593.0,1528.0,1545.0,341927
2014-02-07,1604.8929443359375,1612.0,1618.0,1589.0,1600.0,230517
2014-02-10,1604.8929443359375,1612.0,1618.7989501953125,1591.5400390625,1612.0,251772
2014-02-11,1649.6944580078125,1657.0,1658.0,1622.0,1622.0,478467
2014-02-12,1628.786865234375,1636.0,1660.0,1616.0,1660.0,314099
2014-02-13,1595.9324951171875,1603.0,1637.0,1567.0,1637.0,457877
2014-02-14,1598.919189453125,1606.0,1634.0,1585.0,1600.0,423069
2014-02-17,1613.853271484375,1621.0,1635.0,1612.0,1621.0,305525
2014-02-18,1607.8798828125,1615.0,1621.0,1602.0,1620.0,472280
2014-02-19,1607.8798828125,1615.0,1626.0,1598.0,1607.0,319562
2014-02-20,1626.7957763671875,1634.0,1634.0,1591.0,1595.0,287662
2014-02-21,1667.615234375,1675.0,1680.0,1646.0,1653.0,419687
2014-02-24,1683.54443359375,1691.0,1709.0,1660.0,1667.0,444908
2014-02-25,1652.6812744140625,1660.0,1708.0,1655.0,1700.0,355944
2014-02-26,1621.8179931640625,1629.0,1664.0,1605.0,1658.0,470785
2014-02-27,1655.6683349609375,1663.0,1666.0,1614.8089599609375,1632.0,409360
2014-02-28,1668.610595703125,1676.0,1679.0,1658.0,1669.0,174542
2014-03-03,1633.765380859375,1641.0,1655.0,1627.0,1641.0,273832
2014-03-04,1681.55322265625,1689.0,1691.0,1646.449951171875,1652.0,234367
2014-03-05,1652.6812744140625,1660.0,1671.0,1616.0,1671.0,593037
2014-03-06,1642.72509765625,1650.0,1684.0,1644.60400390625,1665.0,178657
2014-03-07,1619.826904296875,1627.0,1663.0,1626.0,1649.0,189997
2014-03-10,1573.033447265625,1580.0,1634.0,1577.0,1622.0,282662
2014-03-11,1541.1751708984375,1548.0,1592.0,1547.0,1582.0,340326
2014-03-12,1536.197021484375,1543.0,1548.0,1521.0,1544.0,353356
2014-03-13,1526.2413330078125,1533.0,1559.0,1530.0,1548.0,249014
2014-03-14,1538.1881103515625,1545.0,1557.0,1513.0,1527.0,270746
2014-03-17,1573.033447265625,1580.0,1622.0,1566.0999755859375,1569.0,278857
2014-03-18,1619.826904296875,1627.0,1631.0,1579.2080078125,1585.0,262274
2014-03-19,1608.8756103515625,1616.0,1646.25,1605.0,1631.0,216426
2014-03-20,1597.9237060546875,1605.0,1613.8609619140625,1577.0,1606.0,208880
2014-03-21,1575.02490234375,1582.0,1614.0,1581.0,1601.0,331838
2014-03-24,1559.095458984375,1566.0,1601.0,1552.0,1596.0,233374
2014-03-25,1599.9150390625,1607.0,1607.0,1566.0,1566.0,475738
2014-03-26,1629.782470703125,1637.0,1715.0,1633.0,1643.0,1065687
2014-03-27,1623.809326171875,1631.0,1647.199951171875,1612.4530029296875,1632.0,283212
2014-03-28,1668.610595703125,1676.0,1681.9610595703125,1633.0,1643.0,394983
2014-03-31,1652.6812744140625,1660.0,1701.0799560546875,1655.0,1687.0,328923
2014-04-01,1661.6416015625,1669.0,1680.0,1651.0,1673.0,296663
2014-04-02,1651.685546875,1659.0,1705.0,1659.0,1670.0,191892
2014-04-03,1648.6986083984375,1656.0,1665.6800537109375,1646.0,1655.0,213989
2014-04-04,1627.79150390625,1635.0,1663.0439453125,1635.0,1654.0,189184
2014-04-07,1591.9503173828125,1599.0,1630.0,1596.0,1626.0,270424
2014-04-08,1555.11328125,1562.0,1609.0,1545.4530029296875,1600.0,269231
2014-04-09,1598.919189453125,1606.0,1609.0,1568.0,1570.0,177328
2014-04-10,1618.8310546875,1626.0,1631.0,1593.0,1619.0,374252
