Price,Adj Close,Close,High,Low,Open,Volume
Ticker,JUST.L,JUST.L,JUST.L,JUST.L,JUST.L,JUST.L
Date,,,,,,
2014-01-02,209.64097595214844,210.0,212.0,201.5,212.0,97024
2014-01-03,203.15206909179688,203.5,209.75,203.0,209.75,143911
2014-01-06,208.64266967773438,209.0,210.0,203.0,209.0,596269
2014-01-07,206.64610290527344,207.0,209.52499389648438,205.23800659179688,207.0,304850
2014-01-08,211.6375274658203,212.0,216.25,206.0,206.0,3069477
2014-01-09,214.63243103027344,215.0,219.85000610351562,212.0,216.0,2529371
2014-01-10,214.63243103027344,215.0,222.0,209.25,216.5,1593138
2014-01-13,214.63243103027344,215.0,218.5,214.0,214.0,965485
2014-01-14,211.6375274658203,212.0,215.1300048828125,210.25,214.0,533226
2014-01-15,217.6273193359375,218.0,223.0,211.8800048828125,212.5,6912895
2014-01-16,227.6102294921875,228.0,232.5,218.0,218.0,7467035
2014-01-17,244.08203125,244.5,248.25,223.75,228.0,1499850
2014-01-20,243.33331298828125,243.75,245.0,239.0,242.0,291757
2014-01-21,239.58973693847656,240.0,243.0,238.25,240.0,993895
2014-01-22,243.58287048339844,244.0,244.5,235.0,235.0,1076205
2014-01-23,248.82386779785156,249.25,253.5500030517578,242.0,242.0,855585
2014-01-24,239.58973693847656,240.0,250.0,236.3000030517578,250.0,265896
2014-01-27,239.090576171875,239.5,242.02499389648438,236.0,240.0,601520
2014-01-28,245.57943725585938,246.0,248.75,236.0,236.0,1361080
2014-01-29,242.58457946777344,243.0,249.75,240.0,244.0,339929
2014-01-30,240.58798217773438,241.0,250.75,234.0,234.0,279917
2014-01-31,249.32305908203125,249.75,250.0,240.0,240.25,473901
2014-02-03,253.06661987304688,253.5,255.0,245.0,245.0,441733
2014-02-04,252.06834411621094,252.5,255.0,242.25,247.75,1405604
2014-02-05,255.06320190429688,255.5,257.5,247.625,248.75,1970459
2014-02-06,250.32131958007812,250.75,255.5,250.75,252.0,696356
2014-02-07,249.57260131835938,250.0,256.375,242.25,250.5,862887
2014-02-10,252.31793212890625,252.75,255.75,245.0,245.0,885338
2014-02-11,249.57260131835938,250.0,256.0,249.5,250.5,429411
2014-02-12,251.07003784179688,251.5,257.0,247.5,249.5,160806
2014-02-13,243.33331298828125,243.75,251.5,242.75,244.25,581109
2014-02-14,240.58798217773438,241.0,243.5,240.5,240.5,103557
2014-02-17,240.58798217773438,241.0,244.5,238.25,240.0,1237782
2014-02-18,240.58798217773438,241.0,243.0,239.75,240.0,506391
2014-02-19,239.58973693847656,240.0,243.25,237.43699645996094,240.0,706447
2014-02-20,240.0888671875,240.5,242.75,240.0,241.0,297848
2014-02-21,239.34014892578125,239.75,244.5,237.25,244.5,476627
2014-02-24,240.58798217773438,241.0,241.0,236.23699951171875,240.25,186238
2014-02-25,236.8444061279297,237.25,241.5,236.5,241.5,159549
2014-02-26,238.59141540527344,239.0,240.75,237.0,240.75,82633
2014-02-27,239.58973693847656,240.0,245.6999969482422,234.75,240.0,310853
2014-02-28,252.06834411621094,252.5,255.5,240.86500549316406,249.5,1978597
2014-03-03,255.8119659423828,256.25,269.25,252.0,259.5,823685
2014-03-04,264.2973937988281,264.75,267.75,254.0,260.25,1720885
2014-03-05,269.5384521484375,270.0,272.5,262.25,266.75,838136
2014-03-06,270.5367126464844,271.0,289.25,270.25,274.25,426015
2014-03-07,271.5350036621094,272.0,284.875,268.6000061035156,269.75,484267
2014-03-10,266.5435485839844,267.0,273.0,264.25,269.75,197525
2014-03-11,269.5384521484375,270.0,274.75,264.5,264.5,380066
2014-03-12,268.5401611328125,269.0,274.5,266.25,274.5,452208
2014-03-13,267.0426940917969,267.5,270.25,266.75,269.0,1764456
2014-03-14,263.049560546875,263.5,267.5,262.25,267.0,268832
2014-03-17,267.5418701171875,268.0,270.25,263.385009765625,265.25,781303
2014-03-18,267.0426940917969,267.5,284.25,264.5,265.75,543468
2014-03-19,153.73672485351562,154.0,130.25,130.0,269.75,11958485
2014-03-20,145.00167846679688,145.25,163.75,132.0,160.0,9420440
2014-03-21,139.76068115234375,140.0,154.75,138.72000122070312,144.75,14323443
2014-03-24,134.27008056640625,134.5,141.72000122070312,130.3000030517578,140.0,3856008
2014-03-25,136.26663208007812,136.5,138.39999389648438,134.0,135.0,1899120
2014-03-26,140.15997314453125,140.39999389648438,145.98800659179688,138.7899932861328,139.60000610351562,3446914
2014-03-27,134.36990356445312,134.60000610351562,142.60000610351562,133.3000030517578,141.0,6976446
2014-03-28,139.76068115234375,140.0,140.10000610351562,125.30000305175781,138.0,2388420
2014-03-31,138.56271362304688,138.8000030517578,144.1999969482422,137.60000610351562,142.10000610351562,3216631
2014-04-01,141.1582489013672,141.39999389648438,142.39999389648438,137.39999389648438,139.6999969482422,846395
2014-04-02,137.8639373779297,138.10000610351562,142.39999389648438,138.0,141.39999389648438,313983
2014-04-03,145.95005798339844,146.1999969482422,147.10000610351562,136.1999969482422,136.1999969482422,5603323
2014-04-04,147.7469940185547,148.0,150.3000030517578,145.5,147.0,2677151
2014-04-07,148.74526977539062,149.0,150.1999969482422,147.60000610351562,149.1999969482422,4645016
2014-04-08,147.34767150878906,147.60000610351562,149.39999389648438,147.0,148.0,2404179
2014-04-09,149.74354553222656,150.0,150.0,145.0,147.5,3660907
2014-04-10,150.4423828125,150.6999969482422,153.39999389648438,148.7050018310547,149.8000030517578,1075981
2014-04-11,150.542236328125,150.8000030517578,152.50599670410156,149.5,149.5,665747
2014-04-14,151.54051208496094,151.8000030517578,151.8000030517578,148.89999389648438,149.3000030517578,567926
2014-04-15,149.54388427734375,149.8000030517578,152.89999389648438,149.1999969482422,152.6999969482422,331933
2014-04-16,149.54388427734375,149.8000030517578,151.6999969482422,148.9499969482422,150.0,307776
2014-04-17,148.8451385498047,149.10000610351562,153.0,149.10000610351562,151.60000610351562,146350
2014-04-22,149.44406127929688,149.6999969482422,150.60000610351562,148.8000030517578,150.0,761583
2014-04-23,154.1360321044922,154.39999389648438,154.39999389648438,149.3000030517578,150.0,394565
2014-04-24,162.22216796875,162.5,164.3000030517578,153.89999389648438,154.0,681906
2014-04-25,161.92271423339844,162.1999969482422,164.39999389648438,158.0,164.39999389648438,756226
2014-04-28,159.02764892578125,159.3000030517578,164.39999389648438,159.3000030517578,164.39999389648438,351763
2014-04-29,161.02426147460938,161.3000030517578,162.5,159.5,160.5,289192
2014-04-30,162.6215057373047,162.89999389648438,163.1999969482422,158.60000610351562,161.6999969482422,1580266
2014-05-01,170.00888061523438,170.3000030517578,171.3000030517578,162.5,162.89999389648438,1046479
2014-05-02,165.6164093017578,165.89999389648438,172.8000030517578,165.0,172.8000030517578,405603
2014-05-06,161.32376098632812,161.60000610351562,166.32000732421875,160.89999389648438,166.0,524036
2014-05-07,162.9210205078125,163.1999969482422,164.10000610351562,159.8000030517578,164.0,285580
2014-05-08,161.223876953125,161.5,163.5,158.1999969482422,163.0,401158
2014-05-09,157.0310516357422,157.3000030517578,161.74000549316406,154.6999969482422,161.6999969482422,331635
2014-05-12,159.72647094726562,160.0,166.60000610351562,158.5,160.0,786671
2014-05-13,158.0293731689453,158.3000030517578,162.39999389648438,157.60000610351562,160.8000030517578,422555
2014-05-14,158.42869567871094,158.6999969482422,161.6999969482422,158.60000610351562,160.0,230084
2014-05-15,153.53707885742188,153.8000030517578,162.6999969482422,153.8000030517578,160.5,542206
2014-05-16,150.1428680419922,150.39999389648438,154.94000244140625,144.0,153.0,453874
2014-05-19,145.55075073242188,145.8000030517578,150.5,143.8000030517578,150.0,364959
2014-05-20,145.55075073242188,145.8000030517578,149.0,142.89999389648438,145.0,123433
2014-05-21,150.04302978515625,150.3000030517578,152.1999969482422,142.8000030517578,142.8000030517578,213795
2014-05-22,148.74526977539062,149.0,152.6999969482422,147.0,152.6999969482422,479747
2014-05-23,149.54388427734375,149.8000030517578,151.10000610351562,148.8000030517578,148.8000030517578,429022
2014-05-27,147.6471405029297,147.89999389648438,151.0,146.3000030517578,148.8000030517578,189024
2014-05-28,148.64544677734375,148.89999389648438,150.1999969482422,147.5,148.6999969482422,281063
2014-05-29,151.9398193359375,152.1999969482422,154.10000610351562,149.0,151.0,1584690
2014-05-30,152.43894958496094,152.6999969482422,157.00999450683594,152.0,152.0,1788926
2014-06-02,148.54562377929688,148.8000030517578,155.6999969482422,144.8000030517578,153.0,1542241
2014-06-03,146.94834899902344,147.1999969482422,149.60000610351562,146.0,149.60000610351562,381021
2014-06-04,148.2461395263672,148.5,149.89999389648438,146.1699981689453,147.3000030517578,146941
2014-06-05,148.9449462890625,149.1999969482422,150.0,147.14999389648438,147.39999389648438,177469
2014-06-06,148.74526977539062,149.0,151.60000610351562,148.8000030517578,149.0,399623
2014-06-09,147.24786376953125,147.5,150.0,146.60000610351562,149.0,98188
2014-06-10,148.9449462890625,149.1999969482422,149.89999389648438,147.0,148.5,181295
2014-06-11,149.44406127929688,149.6999969482422,151.10000610351562,147.3000030517578,149.0,182920
2014-06-12,148.8451385498047,149.10000610351562,150.0,148.0,149.1999969482422,54456
2014-06-13,147.9466552734375,148.1999969482422,149.6999969482422,146.60000610351562,149.6999969482422,157517
2014-06-16,149.0447540283203,149.3000030517578,149.3000030517578,146.60000610351562,149.3000030517578,251695
2014-06-17,149.64373779296875,149.89999389648438,150.0,148.6999969482422,148.6999969482422,726890
2014-06-18,149.74354553222656,150.0,152.1999969482422,149.89999389648438,151.3000030517578,133980
2014-06-19,149.14459228515625,149.39999389648438,150.5,149.0,150.5,152444
2014-06-20,152.33912658691406,152.60000610351562,152.60000610351562,146.6999969482422,149.5,1363245
2014-06-23,148.9449462890625,149.1999969482422,152.3000030517578,147.5,150.3000030517578,144702
2014-06-24,146.8485565185547,147.10000610351562,151.5,143.5,148.1999969482422,370640
2014-06-25,146.6488800048828,146.89999389648438,149.0,141.89999389648438,149.0,165379
2014-06-26,148.1463165283203,148.39999389648438,149.0,142.6529998779297,145.5,100821
2014-06-27,145.95005798339844,146.1999969482422,148.3000030517578,145.60000610351562,148.1999969482422,79421
2014-06-30,146.1497039794922,146.39999389648438,148.6999969482422,145.1999969482422,147.10000610351562,88773
2014-07-01,148.54562377929688,148.8000030517578,150.0,146.6999969482422,147.39999389648438,107961
2014-07-02,148.04644775390625,148.3000030517578,150.0,147.10000610351562,150.0,122702
2014-07-03,154.1360321044922,154.39999389648438,155.8000030517578,148.6999969482422,150.3000030517578,192130
2014-07-04,150.24273681640625,150.5,155.1999969482422,149.39999389648438,154.89999389648438,7456447
2014-07-07,149.14459228515625,149.39999389648438,150.60000610351562,148.83999633789062,149.39999389648438,47926
2014-07-08,146.54901123046875,146.8000030517578,150.3000030517578,144.0,147.3000030517578,475921
2014-07-09,140.75894165039062,141.0,149.6999969482422,140.10000610351562,149.6999969482422,127175
2014-07-10,141.75723266601562,142.0,144.89999389648438,140.10000610351562,140.89999389648438,195459
2014-07-11,139.66087341308594,139.89999389648438,143.6999969482422,139.10000610351562,142.6999969482422,93936
2014-07-14,140.75894165039062,141.0,143.89999389648438,140.3000030517578,142.0,36224
2014-07-15,139.9603271484375,140.1999969482422,142.39999389648438,139.0,139.0,72480
2014-07-16,140.35964965820312,140.60000610351562,143.89999389648438,139.6999969482422,143.89999389648438,95791
2014-07-17,139.5609893798828,139.8000030517578,142.5,139.5,139.89999389648438,221835
2014-07-18,142.55587768554688,142.8000030517578,142.8000030517578,138.60000610351562,138.60000610351562,103818
2014-07-21,140.95858764648438,141.1999969482422,143.0,139.1999969482422,141.60000610351562,54027
2014-07-22,140.2598114013672,140.5,141.89999389648438,140.0,140.0,16213
2014-07-23,139.36135864257812,139.60000610351562,144.0,138.5,144.0,80095
2014-07-24,141.25807189941406,141.5,142.89999389648438,138.5,139.89999389648438,262589
2014-07-25,144.6522674560547,144.89999389648438,146.0,138.10000610351562,138.10000610351562,170158
2014-07-28,141.75723266601562,142.0,147.6999969482422,141.5,145.0,172470
2014-07-29,141.75723266601562,142.0,143.0,138.3000030517578,139.8000030517578,225877
2014-07-30,139.36135864257812,139.60000610351562,145.1999969482422,139.5,145.1999969482422,112152
2014-07-31,138.26321411132812,138.5,140.8000030517578,136.3000030517578,138.1999969482422,129882
2014-08-01,136.8656463623047,137.10000610351562,139.0,134.30999755859375,139.0,73416
2014-08-04,139.1616668701172,139.39999389648438,141.5,134.1999969482422,137.89999389648438,78139
2014-08-05,147.9466552734375,148.1999969482422,150.0,139.0,139.0,225115
2014-08-06,149.2444305419922,149.5,151.7480010986328,145.39999389648438,145.39999389648438,279615
2014-08-07,150.24273681640625,150.5,155.67100524902344,149.0,149.5,234946
2014-08-08,149.2444305419922,149.5,154.3000030517578,148.3000030517578,148.3000030517578,160765
2014-08-11,150.84169006347656,151.10000610351562,154.89999389648438,148.3000030517578,148.3000030517578,262162
2014-08-12,149.54388427734375,149.8000030517578,153.7899932861328,148.60000610351562,148.60000610351562,108164
2014-08-13,147.14801025390625,147.39999389648438,154.3000030517578,147.10000610351562,151.0,135442
2014-08-14,145.55075073242188,145.8000030517578,148.39999389648438,145.6999969482422,146.5,75785
2014-08-15,142.75550842285156,143.0,148.1999969482422,143.0,146.0,157469
2014-08-18,149.64373779296875,149.89999389648438,150.60000610351562,144.10000610351562,144.10000610351562,30948
2014-08-19,149.74354553222656,150.0,151.39999389648438,147.00999450683594,151.0,93875
2014-08-20,149.84341430664062,150.10000610351562,150.3000030517578,146.6999969482422,146.89999389648438,56988
2014-08-21,145.95005798339844,146.1999969482422,148.3000030517578,144.10000610351562,146.3000030517578,51081
2014-08-22,144.75210571289062,145.0,147.60000610351562,144.3000030517578,147.0,35044
2014-08-26,146.04991149902344,146.3000030517578,147.0,142.5,144.0,50180
2014-08-27,145.95005798339844,146.1999969482422,148.5,143.6999969482422,143.6999969482422,47875
2014-08-28,144.05332946777344,144.3000030517578,146.39999389648438,143.10000610351562,143.10000610351562,58441
2014-08-29,144.75210571289062,145.0,146.10000610351562,142.10000610351562,145.0,39376
2014-09-01,143.25469970703125,143.5,144.1999969482422,142.0,143.5,53840
2014-09-02,144.05332946777344,144.3000030517578,145.5,141.5,141.5,54635
2014-09-03,142.45603942871094,142.6999969482422,146.8000030517578,142.39999389648438,142.39999389648438,114422
2014-09-04,140.2598114013672,140.5,146.89999389648438,140.5,142.3000030517578,31724
2014-09-05,140.8588104248047,141.10000610351562,144.0,141.10000610351562,142.89999389648438,84234
2014-09-08,143.3545379638672,143.60000610351562,146.1699981689453,139.5,141.1999969482422,159255
2014-09-09,141.75723266601562,142.0,146.10000610351562,139.5,140.5,157946
2014-09-10,140.2598114013672,140.5,145.39999389648438,138.89999389648438,143.0,1013360
2014-09-11,136.1668243408203,136.39999389648438,144.6999969482422,136.39999389648438,141.1999969482422,128687
2014-09-12,138.7623748779297,139.0,140.14999389648438,135.60000610351562,135.60000610351562,142946
2014-09-15,139.76068115234375,140.0,141.60000610351562,134.10000610351562,134.8000030517578,248704
2014-09-16,140.2598114013672,140.5,142.1999969482422,138.0,138.0,194410
2014-09-17,138.56271362304688,138.8000030517578,142.10000610351562,137.60000610351562,141.0,194225
2014-09-18,140.2598114013672,140.5,145.33999633789062,139.0,141.0,549084
2014-09-19,139.66087341308594,139.89999389648438,141.10000610351562,139.1999969482422,140.0,408217
2014-09-22,139.36135864257812,139.60000610351562,142.5,138.60000610351562,139.6999969482422,113924
2014-09-23,135.7675018310547,136.0,140.0,135.0,136.1999969482422,282854
2014-09-24,137.6642608642578,137.89999389648438,139.10000610351562,132.87100219726562,138.60000610351562,292566
2014-09-25,138.7623748779297,139.0,139.60000610351562,133.8000030517578,135.3000030517578,360377
2014-09-26,136.76580810546875,137.0,137.5,133.0,135.8000030517578,141268
2014-09-29,127.78117370605469,128.0,138.0,123.69999694824219,136.89999389648438,2399292
2014-09-30,130.87586975097656,131.10000610351562,132.10000610351562,128.60000610351562,130.8000030517578,778425
2014-10-01,124.4868392944336,124.69999694824219,132.0,124.0,130.39999389648438,1180577
2014-10-02,119.59520721435547,119.80000305175781,125.69999694824219,118.5,124.0,770208
2014-10-03,120.09432983398438,120.30000305175781,121.9000015258789,118.69999694824219,121.9000015258789,699443
2014-10-06,126.0840835571289,126.30000305175781,129.21600341796875,121.69999694824219,123.30000305175781,667454
2014-10-07,123.78802490234375,124.0,126.30000305175781,120.5999984741211,126.30000305175781,1957338
2014-10-08,126.28372955322266,126.5,127.5,121.0999984741211,122.0,521433
