Price,Adj Close,Close,High,Low,Open,Volume
Ticker,LRE.L,LRE.L,LRE.L,LRE.L,LRE.L,LRE.L
Date,,,,,,
2014-01-02,806.1436767578125,811.0,815.0,801.5,815.0,81913
2014-01-03,799.1854858398438,804.0,809.6400146484375,799.0,807.5,229885
2014-01-06,800.676513671875,805.5,811.0,803.0,808.5,222115
2014-01-07,800.676513671875,805.5,807.5,801.9400024414062,805.0,334755
2014-01-08,783.7783813476562,788.5,804.5,787.5,803.5,833246
2014-01-09,778.8082885742188,783.5,793.0,779.5,784.5,446965
2014-01-10,778.8082885742188,783.5,786.0,778.0,783.0,250916
2014-01-13,773.3411865234375,778.0,787.0,774.0,783.0,280095
2014-01-14,771.353271484375,776.0,776.5,769.5,769.5,324822
2014-01-15,768.8680419921875,773.5,780.5,771.0,776.0,243281
2014-01-16,757.4370727539062,762.0,778.0,761.0,775.0,495755
2014-01-17,758.9281005859375,763.5,766.0,755.5,759.5,454490
2014-01-20,759.425048828125,764.0,767.0,758.5,767.0,195764
2014-01-21,755.4490356445312,760.0,765.0,759.5,764.5,377001
2014-01-22,759.425048828125,764.0,770.0,761.0,763.5,411163
2014-01-23,755.9459838867188,760.5,767.5,760.0,760.5,254559
2014-01-24,751.4730224609375,756.0,767.0,755.5,765.5,373995
2014-01-27,743.02392578125,747.5,757.0,740.0,757.0,513613
2014-01-28,745.5089111328125,750.0,757.0,746.0,746.0,219053
2014-01-29,741.0360107421875,745.5,760.0,742.0,751.0,225326
2014-01-30,750.4789428710938,755.0,755.0,745.5,750.5,420783
2014-01-31,749.48486328125,754.0,759.0,743.5,755.0,325488
2014-02-03,743.5208129882812,748.0,756.9600219726562,743.0,747.5,219307
2014-02-04,744.5149536132812,749.0,749.0,741.5,744.5,152933
2014-02-05,735.0718383789062,739.5,744.0,730.0,730.0,366296
2014-02-06,756.443115234375,761.0,761.0,740.5,744.5,342630
2014-02-07,751.9699096679688,756.5,765.5,753.5,763.5,345831
2014-02-10,749.48486328125,754.0,759.0,751.5,753.5,338267
2014-02-11,753.4609375,758.0,766.5,755.0,757.5,305263
2014-02-12,750.4789428710938,755.0,765.0,753.5,758.5,248511
2014-02-13,717.676513671875,722.0,748.0,690.0,748.0,1228313
2014-02-14,725.6286010742188,730.0,734.5,722.0,725.5,460567
2014-02-17,728.1138305664062,732.5,736.0,724.0,734.5,239381
2014-02-18,729.6046142578125,734.0,738.0,727.0,734.5,538519
2014-02-19,724.1376342773438,728.5,734.0,717.5,734.0,552349
2014-02-20,727.1196899414062,731.5,734.1939697265625,724.0,726.5,207533
2014-02-21,729.6046142578125,734.0,740.0,732.5,733.0,307771
2014-02-24,729.107666015625,733.5,743.8930053710938,724.5,732.0,288207
2014-02-25,727.1196899414062,731.5,734.5,723.5,734.5,576407
2014-02-26,726.6226196289062,731.0,734.0,726.0,730.0,165579
2014-02-27,728.61083984375,733.0,733.5,722.5,731.0,223596
2014-02-28,729.107666015625,733.5,738.5,729.0,734.0,252613
2014-03-03,717.1795043945312,721.5,728.5999755859375,719.5,727.5,301329
2014-03-04,721.652587890625,726.0,730.5,721.0,729.0,1184061
2014-03-05,717.676513671875,722.0,727.0,717.0,724.0,294541
2014-03-06,716.6826171875,721.0,727.0,717.5,726.0,160973
2014-03-07,723.1436767578125,727.5,732.5,715.0,722.5,562205
2014-03-10,717.676513671875,722.0,728.5,719.0,727.0,636619
2014-03-11,722.6466674804688,727.0,729.0,721.0,724.0,970868
2014-03-12,713.700439453125,718.0,729.5,718.0,728.0,262979
2014-03-13,712.7066650390625,717.0,720.5,708.5,720.5,347993
2014-03-14,717.1795043945312,721.5,722.5,712.5,712.5,263920
2014-03-17,724.1376342773438,728.5,734.0,719.8599853515625,724.5,256457
2014-03-18,727.1196899414062,731.5,732.0,723.5,730.0,1257085
2014-03-19,700.2813110351562,704.5,730.593994140625,703.0,718.5,725932
2014-03-20,692.8262329101562,697.0,707.5,691.5,705.0,405454
2014-03-21,697.796142578125,702.0,705.0,694.5,697.0,1247249
2014-03-24,692.8262329101562,697.0,707.0,690.5,704.5,234188
2014-03-25,696.3053588867188,700.5,704.0,692.0,700.0,272979
2014-03-26,695.311279296875,699.5,706.0,695.0,703.5,640115
2014-03-27,696.3053588867188,700.5,703.5700073242188,694.0,700.0,735995
2014-03-28,687.856201171875,692.0,704.5,686.5,704.5,653615
2014-03-31,679.9041137695312,684.0,697.0,681.0,696.5,311183
2014-04-01,671.9520263671875,676.0,688.5,674.0,688.5,695537
2014-04-02,663.005859375,667.0,678.0,660.5,678.0,706724
2014-04-03,660.5208740234375,664.5,677.1019897460938,662.0,669.0,402241
2014-04-04,659.52685546875,663.5,672.0,661.0,667.0,452915
2014-04-07,673.9401245117188,678.0,689.0,670.0,673.5,723135
2014-04-08,683.3831176757812,687.5,690.22998046875,674.5,678.5,618177
2014-04-09,701.2752075195312,705.5,711.5,695.0,696.5,683286
2014-04-10,705.2514038085938,709.5,710.5,704.0,708.5,425855
2014-04-11,706.2454223632812,710.5,717.5,704.0,709.5,636566
2014-04-14,702.7662963867188,707.0,712.0,704.5,710.0,356450
2014-04-15,697.796142578125,702.0,707.0,699.0,704.0,369399
2014-04-16,660.5208740234375,664.5,686.0,650.0,686.0,4095941
2014-04-17,664.9940185546875,669.0,674.0,661.0,664.5,3701157
2014-04-22,667.975830078125,672.0,675.5,668.5,673.5,469140
2014-04-23,671.4550170898438,675.5,677.5,665.6699829101562,673.5,388469
2014-04-24,678.91015625,683.0,683.6829833984375,676.0,676.5,734481
