Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SCT.L,SCT.L,SCT.L,SCT.L,SCT.L,SCT.L
Date,,,,,,
2015-11-13,278.0231018066406,280.0,288.75,260.25,265.0,10220867
2015-11-16,278.0231018066406,280.0,287.25,240.0,275.0,1326086
2015-11-17,278.0231018066406,280.0,285.0,280.0,284.0,192629
2015-11-18,278.0231018066406,280.0,284.0,280.0,280.0,343221
2015-11-19,292.91717529296875,295.0,296.6000061035156,278.7200012207031,285.0,466996
2015-11-20,287.9525451660156,290.0,295.0,286.5,295.0,96772
2015-11-23,291.9242858886719,294.0,294.6199951171875,286.0,290.25,109636
2015-11-24,287.4560546875,289.5,294.760009765625,285.25,294.0,55370
2015-11-25,282.98779296875,285.0,290.0,285.0,290.0,88363
2015-11-26,282.98779296875,285.0,288.9599914550781,285.0,286.25,43405
2015-11-27,278.0231018066406,280.0,286.5,280.0,285.0,47928
2015-11-30,281.994873046875,284.0,285.0,279.7200012207031,280.0,116746
2015-12-01,279.76080322265625,281.75,288.0,280.0,288.0,68845
2015-12-02,282.98779296875,285.0,285.0,280.0,283.0,88139
2015-12-03,280.8778381347656,282.875,286.8500061035156,282.5,285.0,53031
2015-12-04,284.97369384765625,287.0,287.0,285.0,285.0,31376
2015-12-07,295.89605712890625,298.0,307.0,287.9410095214844,293.0,924712
2015-12-08,288.2008056640625,290.25,300.0,290.0,300.0,204309
2015-12-09,291.676025390625,293.75,297.25,290.0,290.0,153621
2015-12-10,296.8890075683594,299.0,300.8500061035156,295.0,295.0,190072
2015-12-11,297.8819274902344,300.0,303.5199890136719,298.0,302.0,601954
2015-12-14,297.6336364746094,299.75,305.0,299.5,305.0,151293
2015-12-15,297.8819274902344,300.0,304.5,296.25,300.5,127422
2015-12-16,299.61956787109375,301.75,308.5840148925781,300.0,304.75,187953
2015-12-17,317.74066162109375,320.0,323.6400146484375,303.510009765625,309.0,213185
2015-12-18,317.74066162109375,320.0,325.0,311.1400146484375,325.0,218133
2015-12-21,317.74066162109375,320.0,328.0,315.79998779296875,320.0,1679962
2015-12-22,323.6983947753906,326.0,334.27899169921875,317.8999938964844,318.0,297610
2015-12-23,318.7336120605469,321.0,328.5,315.0,327.0,1006246
2015-12-24,325.6842956542969,328.0,330.0,325.6000061035156,328.5,4288
2015-12-29,330.8971862792969,333.25,348.0,329.0,329.0,194798
2015-12-30,333.62774658203125,336.0,347.7749938964844,335.0,335.0,126774
2015-12-31,337.7236022949219,340.125,346.5,334.0679931640625,346.20001220703125,37552
2016-01-04,334.86895751953125,337.25,344.1390075683594,335.0,336.0,141609
2016-01-05,332.6348571777344,335.0,342.2300109863281,334.0400085449219,337.0,600701
2016-01-06,327.67010498046875,330.0,343.25,330.0,343.0,127639
2016-01-07,326.67718505859375,329.0,340.0,327.0,340.0,63716
2016-01-08,333.62774658203125,336.0,336.3900146484375,330.0,332.0,301216
2016-01-11,333.62774658203125,336.0,345.0,332.4200134277344,344.25,786163
2016-01-12,333.13128662109375,335.5,342.92999267578125,334.6629943847656,339.5,261348
2016-01-13,332.13836669921875,334.5,342.6499938964844,334.5,338.75,199507
2016-01-14,332.6348571777344,335.0,343.5,330.25,343.5,461058
2016-01-15,312.5278015136719,314.75,340.0,307.5,340.0,265684
2016-01-18,325.9324645996094,328.25,331.6700134277344,317.80999755859375,318.0,226074
2016-01-19,325.6842956542969,328.0,329.75,324.5,329.75,333035
2016-01-20,317.74066162109375,320.0,329.6000061035156,316.3999938964844,325.0,192604
2016-01-21,323.201904296875,325.5,330.0,315.0,330.0,225412
2016-01-22,316.99603271484375,319.25,330.0,313.8999938964844,330.0,125972
2016-01-25,314.761962890625,317.0,327.0,315.5,327.0,57925
2016-01-26,317.74066162109375,320.0,321.7489929199219,312.75,320.0,106261
2016-01-27,323.6983947753906,326.0,326.0199890136719,315.6600036621094,320.0,193397
2016-01-28,324.69134521484375,327.0,328.0,319.0,328.0,69449
2016-01-29,337.59954833984375,340.0,343.0,320.75,328.0,238940
2016-02-01,329.656005859375,332.0,338.739990234375,327.5,330.0,384968
2016-02-02,330.6489562988281,333.0,338.510009765625,325.0,325.0,33270
2016-02-03,333.3795471191406,335.75,340.0,327.0190124511719,330.75,393582
2016-02-04,340.5782775878906,343.0,344.0,333.0,340.0,231150
2016-02-05,338.5924987792969,341.0,344.0,337.5,340.0,70645
2016-02-08,312.77606201171875,315.0,343.5,310.0,332.5,138477
2016-02-09,307.8113708496094,310.0,328.0,303.0,320.0,312232
2016-02-10,301.3572082519531,303.5,316.0,303.0,309.0,221668
2016-02-11,288.94549560546875,291.0,310.0,260.0,310.0,729661
2016-02-12,299.8678283691406,302.0,302.75,296.3999938964844,297.0,272231
2016-02-15,306.3219299316406,308.5,310.2900085449219,295.5,295.5,82022
2016-02-16,299.61956787109375,301.75,307.75,295.0,305.0,140455
2016-02-17,306.5701904296875,308.75,310.25,295.25,304.0,206768
2016-02-18,308.80426025390625,311.0,315.0,305.0,309.0,162709
2016-02-19,306.3219299316406,308.5,314.5,304.0,314.5,79402
2016-02-22,316.7477722167969,319.0,319.5,306.1700134277344,309.5,113731
2016-02-23,328.4148254394531,330.75,335.0,319.0,324.5,88449
2016-02-24,337.10302734375,339.5,341.75,326.0,328.25,748472
2016-02-25,336.6065979003906,339.0,342.0,330.5,330.5,102093
2016-02-26,336.35833740234375,338.75,343.0,334.1600036621094,342.0,72797
2016-02-29,347.52886962890625,350.0,352.5,329.0,335.5,161078
2016-03-01,345.54296875,348.0,354.29998779296875,342.0,348.25,101037
2016-03-02,350.7559814453125,353.25,355.0,344.25,345.0,71109
2016-03-03,344.3018493652344,346.75,352.75,340.75,340.75,65451
2016-03-04,338.0959777832031,340.5,347.25,340.5,347.25,172998
2016-03-07,329.656005859375,332.0,347.25,332.0,347.25,56405
2016-03-08,319.7265625,322.0,334.7699890136719,312.5,332.0,217008
2016-03-09,319.2301330566406,321.5,328.0,319.25,321.0,79233
2016-03-10,318.4853820800781,320.75,327.5,320.5,327.5,52402
2016-03-11,317.74066162109375,320.0,324.7699890136719,315.75,324.75,63991
2016-03-14,312.77606201171875,315.0,328.0,312.75,328.0,119792
2016-03-15,303.5913391113281,305.75,316.8599853515625,302.0,311.0,197464
2016-03-16,297.8819274902344,300.0,314.75,295.75,314.75,375237
2016-03-17,304.8325500488281,307.0,323.0,305.739990234375,306.0,389839
2016-03-18,299.37139892578125,301.5,318.0,292.2300109863281,318.0,5029227
2016-03-21,307.3148498535156,309.5,313.0,298.0,310.0,76370
2016-03-22,305.7261657714844,307.8999938964844,314.8999938964844,303.1000061035156,314.8999938964844,102698
2016-03-23,309.7972106933594,312.0,315.0,306.0,313.8999938964844,156946
2016-03-24,307.8113708496094,310.0,312.3999938964844,305.1000061035156,305.1000061035156,757148
2016-03-29,306.02410888671875,308.20001220703125,312.8999938964844,303.0,303.0,447879
2016-03-30,309.7972106933594,312.0,317.3999938964844,308.79998779296875,315.0,372202
2016-03-31,310.3106384277344,312.5,321.1000061035156,309.4159851074219,312.0,272073
2016-04-01,309.4169616699219,311.6000061035156,318.3999938964844,309.0,318.3999938964844,156618
2016-04-04,321.6307373046875,323.8999938964844,326.0,311.20001220703125,311.20001220703125,179730
2016-04-05,333.7452697753906,336.1000061035156,337.8999938964844,320.0,328.0,192527
2016-04-06,334.5396728515625,336.8999938964844,343.0,330.29998779296875,340.0,187722
2016-04-07,329.2767639160156,331.6000061035156,342.29998779296875,328.0,329.3999938964844,209241
2016-04-08,325.0068359375,327.29998779296875,330.70001220703125,325.0,327.3999938964844,102724
2016-04-11,327.68798828125,330.0,332.79998779296875,325.0,325.5,196094
2016-04-12,327.68798828125,330.0,334.29998779296875,326.3999938964844,330.0,196050
2016-04-13,328.8796081542969,331.20001220703125,340.0,323.94000244140625,340.0,154961
2016-04-14,325.7020263671875,328.0,333.0,325.0,331.20001220703125,87497
