Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SXS.L,SXS.L,SXS.L,SXS.L,SXS.L,SXS.L
Date,,,,,,
2014-01-02,2525.8076171875,2533.0,2572.0,2533.0,2571.0,241144
2014-01-03,2539.767333984375,2547.0,2556.0,2520.0,2538.0,257972
2014-01-06,2527.802001953125,2535.0,2561.0,2526.0,2552.0,131467
2014-01-07,2496.889892578125,2504.0,2540.0,2491.0,2540.0,194664
2014-01-08,2492.901611328125,2500.0,2518.0,2484.0,2499.0,144738
2014-01-09,2453.0146484375,2460.0,2511.0,2457.0,2511.0,145321
2014-01-10,2468.96875,2476.0,2478.0,2347.0,2402.0,330990
2014-01-13,2467.972412109375,2475.0,2508.3798828125,2444.0,2488.0,177667
2014-01-14,2451.020263671875,2458.0,2470.0,2429.0,2470.0,194455
2014-01-15,2461.9892578125,2469.0,2509.0,2462.0,2477.0,174559
2014-01-16,2474.951904296875,2482.0,2508.719970703125,2445.0,2479.0,232578
2014-01-17,2406.1484375,2413.0,2515.0,2381.72900390625,2496.0,265372
2014-01-20,2372.245361328125,2379.0,2414.0,2371.0,2389.0,258582
2014-01-21,2377.23046875,2384.0,2388.0,2355.0,2370.0,197944
2014-01-22,2365.264404296875,2372.0,2403.0,2369.0,2380.0,215113
2014-01-23,2326.375,2333.0,2396.0,2325.0,2359.0,161886
2014-01-24,2272.528564453125,2279.0,2337.0,2269.0,2324.0,206912
2014-01-27,2241.6171875,2248.0,2277.89990234375,2241.0,2266.0,236156
2014-01-28,2268.54052734375,2275.0,2285.0,2249.0,2249.0,164746
2014-01-29,2249.59375,2256.0,2304.0,2226.0,2304.0,293658
2014-01-30,2249.59375,2256.0,2264.0,2217.0,2247.0,110323
2014-01-31,2215.69091796875,2222.0,2272.0,2156.634033203125,2260.0,209460
2014-02-03,2221.674560546875,2228.0,2266.0,2218.0,2225.0,266127
2014-02-04,2251.588623046875,2258.0,2272.0,2202.0,2228.0,278675
2014-02-05,2257.571533203125,2264.0,2297.0,2254.0,2280.0,289485
2014-02-06,2294.46630859375,2301.0,2301.0,2247.0,2278.0,258764
2014-02-07,2300.448974609375,2307.0,2313.0,2283.0,2313.0,222351
2014-02-10,2323.383544921875,2330.0,2335.0,2294.0,2307.0,227397
2014-02-11,2362.273681640625,2369.0,2369.0,2324.0,2338.0,263522
2014-02-12,2342.33056640625,2349.0,2374.0,2346.0,2366.0,307858
2014-02-13,2331.36083984375,2338.0,2355.0,2323.0,2355.0,154055
2014-02-14,2333.35546875,2340.0,2347.0,2333.0,2347.0,157883
2014-02-17,2348.312744140625,2355.0,2372.0,2336.0,2350.0,226498
2014-02-18,2379.22509765625,2386.0,2390.0,2337.0,2348.0,174349
2014-02-19,2384.2109375,2391.0,2404.0,2366.0,2373.0,109558
2014-02-20,2403.1572265625,2410.0,2416.0,2357.0,2363.0,156976
2014-02-21,2432.07470703125,2439.0,2445.0,2401.0,2424.0,144871
2014-02-24,2445.037353515625,2452.0,2457.0,2416.0,2422.0,145615
2014-02-25,2458.00048828125,2465.0,2479.0,2442.0,2452.0,231091
2014-02-26,2452.01806640625,2459.0,2471.0,2436.0,2463.0,173607
2014-02-27,2455.00927734375,2462.0,2493.0,2404.0,2404.0,159171
2014-02-28,2450.023193359375,2457.0,2471.0,2441.14990234375,2449.0,248681
2014-03-03,2406.1484375,2413.0,2436.0,2388.75,2436.0,333741
2014-03-04,2429.082763671875,2436.0,2456.0,2433.0,2440.0,416133
2014-03-05,2396.1767578125,2403.0,2455.0,2400.0,2426.0,135718
2014-03-06,2373.241943359375,2380.0,2424.0,2380.0,2424.0,305100
2014-03-07,2358.2841796875,2365.0,2395.0,2361.0,2386.0,245822
2014-03-10,2342.33056640625,2349.0,2377.0,2337.0,2367.0,172704
2014-03-11,2341.33251953125,2348.0,2361.0,2334.0,2348.0,102303
2014-03-12,2307.4296875,2314.0,2347.0,2296.0,2347.0,146449
2014-03-13,2275.519775390625,2282.0,2321.0,2282.0,2312.0,211102
2014-03-14,2271.53173828125,2278.0,2280.0,2238.0,2264.0,190815
2014-03-17,2296.461181640625,2303.0,2323.0,2286.0,2287.0,158554
2014-03-18,2278.511474609375,2285.0,2305.0,2278.0,2296.0,164096
