Price,Adj Close,Close,High,Low,Open,Volume
Ticker,THG.L,THG.L,THG.L,THG.L,THG.L,THG.L
Date,,,,,,
2020-09-16,625.0,625.0,658.2999877929688,600.0,600.0,74576399
2020-09-17,585.0,585.0,627.9000244140625,572.5999755859375,625.0,15186138
2020-09-18,592.0,592.0,595.0,565.2999877929688,585.0,3216193
2020-09-21,574.7999877929688,574.7999877929688,609.7999877929688,569.4000244140625,600.0,1990061
2020-09-22,609.0,609.0,610.4000244140625,575.7999877929688,582.0999755859375,3088006
2020-09-23,612.5,612.5,625.0,606.2000122070312,625.0,1299855
2020-09-24,620.2000122070312,620.2000122070312,639.7000122070312,600.0,608.0,1056889
2020-09-25,614.0,614.0,635.7000122070312,610.0,634.9000244140625,1060294
2020-09-28,600.4000244140625,600.4000244140625,627.0,595.4000244140625,627.0,555511
2020-09-29,603.9000244140625,603.9000244140625,611.2999877929688,600.4000244140625,603.9000244140625,222375
2020-09-30,598.2000122070312,598.2000122070312,610.0,585.5999755859375,603.0,1612545
2020-10-01,603.0,603.0,607.7999877929688,592.7999877929688,605.0,323678
2020-10-02,598.0,598.0,604.0,596.0,602.0,158230
2020-10-05,600.0,600.0,607.2000122070312,592.0,592.0,436492
2020-10-06,595.4000244140625,595.4000244140625,601.7999877929688,592.2000122070312,596.4000244140625,1546852
2020-10-07,592.0,592.0,604.7999877929688,590.2000122070312,595.0,189792
2020-10-08,601.7999877929688,601.7999877929688,602.8319702148438,587.2000122070312,594.7999877929688,196971
2020-10-09,597.5999755859375,597.5999755859375,608.7999877929688,586.0,586.0,181749
2020-10-12,595.0,595.0,604.3699951171875,585.7999877929688,600.0,293359
2020-10-13,590.0,590.0,599.7999877929688,579.0,590.2000122070312,497999
2020-10-14,595.0,595.0,607.7999877929688,587.0,607.0,317259
2020-10-15,597.0,597.0,602.7999877929688,585.2000122070312,602.4000244140625,323412
2020-10-16,584.2000122070312,584.2000122070312,605.0,584.2000122070312,605.0,529396
2020-10-19,600.0,600.0,600.0,583.7999877929688,585.2000122070312,578852
2020-10-20,612.4000244140625,612.4000244140625,612.4000244140625,587.47998046875,604.7999877929688,552662
2020-10-21,625.0,625.0,633.0,607.2000122070312,611.0,1619022
2020-10-22,625.0,625.0,628.7999877929688,606.5999755859375,627.7999877929688,925997
2020-10-23,666.5999755859375,666.5999755859375,669.7999877929688,618.5999755859375,625.0,1005707
2020-10-26,694.7999877929688,694.7999877929688,787.7999877929688,618.5999755859375,670.0,1081975
2020-10-27,703.7999877929688,703.7999877929688,730.0,691.0,715.4000244140625,1259410
2020-10-28,678.7999877929688,678.7999877929688,727.0,658.0,724.2000122070312,700662
2020-10-29,669.5999755859375,669.5999755859375,685.0,657.4000244140625,680.0,271631
2020-10-30,659.5999755859375,659.5999755859375,693.4000244140625,651.0,680.0,530428
2020-11-02,634.0,634.0,677.4000244140625,630.2000122070312,673.4000244140625,952714
2020-11-03,657.2000122070312,657.2000122070312,665.2000122070312,640.4000244140625,650.0,327770
2020-11-04,674.0,674.0,682.4000244140625,643.0,643.0,328137
2020-11-05,679.4000244140625,679.4000244140625,702.0,662.5999755859375,680.0,403190
2020-11-06,697.2000122070312,697.2000122070312,701.5999755859375,675.2000122070312,681.0,746817
2020-11-09,630.0,630.0,724.7999877929688,611.2000122070312,716.0,1184811
2020-11-10,607.0,607.0,665.4000244140625,586.2000122070312,643.0,803810
2020-11-11,620.0,620.0,630.0,599.0,622.4000244140625,643230
2020-11-12,611.2000122070312,611.2000122070312,634.7999877929688,610.0,622.5999755859375,562227
2020-11-13,633.0,633.0,644.4000244140625,605.1420288085938,620.0,524734
2020-11-16,647.7999877929688,647.7999877929688,657.5999755859375,611.2000122070312,638.7999877929688,567326
2020-11-17,625.2000122070312,625.2000122070312,662.7999877929688,623.2000122070312,658.0,452010
2020-11-18,647.0,647.0,650.4000244140625,622.0,622.0,346100
2020-11-19,650.0,650.0,657.7999877929688,639.0,653.7999877929688,312290
2020-11-20,645.0,645.0,655.4600219726562,637.0,644.5999755859375,409599
2020-11-23,619.7999877929688,619.7999877929688,657.0,602.7899780273438,646.2000122070312,1063760
2020-11-24,595.5999755859375,595.5999755859375,616.7999877929688,580.2000122070312,615.0,917308
2020-11-25,600.0,600.0,607.7999877929688,590.2000122070312,597.0,560993
2020-11-26,600.0,600.0,610.2000122070312,597.4910278320312,603.0,376604
2020-11-27,607.2000122070312,607.2000122070312,616.0,600.0,600.0,387699
2020-11-30,628.7999877929688,628.7999877929688,632.5999755859375,608.2000122070312,610.0,464533
2020-12-01,660.0,660.0,667.0,626.0,632.0,641904
2020-12-02,670.0,670.0,672.7999877929688,648.0,650.0,600746
2020-12-03,671.5999755859375,671.5999755859375,675.0,661.4000244140625,674.0,375395
2020-12-04,649.0,649.0,678.4000244140625,642.2000122070312,663.0,412508
2020-12-07,668.4000244140625,668.4000244140625,709.7999877929688,662.7999877929688,700.0,1042144
2020-12-08,667.7999877929688,667.7999877929688,682.0,663.780029296875,680.0,553749
2020-12-09,662.5999755859375,662.5999755859375,679.5999755859375,654.5999755859375,679.5999755859375,474864
2020-12-10,660.0,660.0,675.0,654.5999755859375,670.7999877929688,398380
2020-12-11,661.0,661.0,669.7999877929688,657.0,660.5999755859375,427494
2020-12-14,661.0,661.0,670.3579711914062,651.1199951171875,665.4000244140625,413219
2020-12-15,669.0,669.0,679.7999877929688,661.5999755859375,667.4000244140625,463022
2020-12-16,685.0,685.0,691.4000244140625,663.7999877929688,677.5999755859375,1148825
2020-12-17,690.0,690.0,704.2000122070312,676.0,678.2000122070312,778341
2020-12-18,678.2000122070312,678.2000122070312,696.0,671.2000122070312,690.0,4009074
2020-12-21,691.0,691.0,696.0,661.5999755859375,690.5999755859375,640449
2020-12-22,700.0,700.0,703.5999755859375,685.4000244140625,685.4000244140625,663145
2020-12-23,698.0,698.0,705.0,694.7999877929688,700.0,446336
2020-12-24,700.0,700.0,710.0,690.2000122070312,708.0,135825
2020-12-29,762.5999755859375,762.5999755859375,772.2000122070312,705.5999755859375,715.7999877929688,1377461
2020-12-30,779.7999877929688,779.7999877929688,808.0,765.0,773.5999755859375,1458831
2020-12-31,780.0,780.0,790.8200073242188,776.5999755859375,789.2000122070312,334023
2021-01-04,799.4000244140625,799.4000244140625,818.5999755859375,790.0,791.5999755859375,1128084
2021-01-05,799.4000244140625,799.4000244140625,818.0,790.4000244140625,808.5999755859375,894913
2021-01-06,795.0,795.0,809.9299926757812,790.2000122070312,807.0,535775
2021-01-07,792.7999877929688,792.7999877929688,804.0,779.0,800.0,684803
2021-01-08,796.2000122070312,796.2000122070312,803.4000244140625,790.0,800.0,664590
2021-01-11,790.0,790.0,814.7999877929688,780.0,806.2000122070312,1424307
2021-01-12,798.0,798.0,837.7999877929688,795.2000122070312,826.0,1745940
2021-01-13,785.0,785.0,818.5,779.5,818.5,930087
2021-01-14,765.0,765.0,780.0,760.0,768.0,14600123
2021-01-15,740.0,740.0,773.0,731.5399780273438,762.0,1988193
2021-01-18,759.5,759.5,763.0,730.5,730.5,1411059
2021-01-19,750.0,750.0,766.0,746.5,754.5,640607
2021-01-20,755.5,755.5,760.5,750.5,752.5,506335
2021-01-21,754.0,754.0,763.0,749.0,757.0,618719
2021-01-22,751.5,751.5,756.5,733.0,750.5,661196
2021-01-25,752.0,752.0,759.5,747.0059814453125,754.5,957757
2021-01-26,750.0,750.0,762.0,741.0,762.0,832847
2021-01-27,728.5,728.5,759.5,719.5,759.5,994150
2021-01-28,730.0,730.0,737.5,706.0,737.5,1107050
2021-01-29,721.0,721.0,734.0,717.5,734.0,625095
2021-02-01,738.0,738.0,745.0,719.0,727.0,752430
2021-02-02,745.0,745.0,755.0,736.0,736.0,532318
2021-02-03,745.0,745.0,755.0,740.5,747.5,2213401
2021-02-04,736.0,736.0,752.5,735.0,752.0,1950299
2021-02-05,720.0,720.0,746.5,715.5,735.0,1100678
2021-02-08,715.0,715.0,729.2899780273438,713.2100219726562,729.0,1175458
2021-02-09,708.0,708.0,724.5,706.5,724.5,864716
2021-02-10,708.0,708.0,719.5,705.0,710.5,2825812
2021-02-11,700.0,700.0,715.5,699.0,705.0,773861
2021-02-12,733.0,733.0,734.0,697.5,710.0,1023354
2021-02-15,745.5,745.5,758.0,730.0,733.5,721731
2021-02-16,748.5,748.5,753.0,744.5,749.5,429731
2021-02-17,720.0,720.0,752.0,720.0,750.0,741505
2021-02-18,716.5,716.5,724.0,706.0,713.5,701615
2021-02-19,722.0,722.0,727.5,704.0,704.0,631772
2021-02-22,731.0,731.0,742.0,715.0,725.5,1556671
2021-02-23,717.5,717.5,743.0,696.0,742.0,1684547
2021-02-24,714.5,714.5,730.0,704.0,723.5,1322556
2021-02-25,718.5,718.5,722.5,709.0,714.0,886767
2021-02-26,708.0,708.0,717.0,705.0,712.0,985138
2021-03-01,717.5,717.5,728.0,708.5,708.5,580780
2021-03-02,718.5,718.5,728.9500122070312,716.0,721.5,1650882
2021-03-03,708.5,708.5,730.0,706.5,730.0,1122730
2021-03-04,707.0,707.0,715.0,700.0,706.0,1091761
2021-03-05,653.5,653.5,710.5,650.5,700.5,1629079
2021-03-08,636.5,636.5,660.0,604.0,655.0,1819916
2021-03-09,664.5,664.5,669.5,620.0,649.0,1425053
2021-03-10,660.0,660.0,671.5,654.5,659.5,1416942
2021-03-11,674.0,674.0,684.0,662.5,671.0,932877
2021-03-12,645.0,645.0,685.5,637.5,685.5,1349509
2021-03-15,653.5,653.5,662.5,645.5,657.0,817434
